City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
79,Pisco,PE,-13.7,-76.2167,62.65,82,0,16.11,clear sky
80,Lavrentiya,RU,65.5833,-171.0,33.35,91,100,6.71,light snow
81,Mandalgovi,MN,45.7625,106.2708,68.49,21,5,5.03,clear sky
82,Saint-Philippe,RE,-21.3585,55.7679,71.19,85,44,8.7,light rain
83,Longyearbyen,SJ,78.2186,15.6401,31.84,74,40,17.27,scattered clouds
84,Severo-Kurilsk,RU,50.6789,156.125,45.93,84,100,18.41,overcast clouds
85,Nicoya,CR,10.1483,-85.452,85.55,77,26,3.71,scattered clouds
86,Madison,US,34.7334,-86.5667,78.22,73,1,3.0,clear sky
87,Tiksi,RU,71.6872,128.8694,36.1,90,100,5.55,overcast clouds
88,Khatanga,RU,71.9667,102.5,34.75,86,99,11.86,overcast clouds
89,Christchurch,NZ,-43.5333,172.6333,61.0,61,47,4.0,scattered clouds
90,Ocampo,MX,21.65,-101.5,67.6,43,88,2.89,overcast clouds
91,Turbat,PK,26.0023,63.044,81.61,78,4,3.09,clear sky
92,Tuatapere,NZ,-46.1333,167.6833,59.72,66,91,10.85,overcast clouds
93,Goderich,CA,43.7501,-81.7165,73.72,53,11,6.91,few clouds
94,Mitu,CO,1.1983,-70.1733,72.27,98,93,1.5,overcast clouds
95,Yulara,AU,-25.2406,130.9889,55.24,58,0,10.36,clear sky
96,Cabo San Lucas,MX,22.8909,-109.9124,92.8,50,5,10.94,clear sky
97,Kibala,TD,9.1104,18.3463,75.81,76,75,5.99,broken clouds
98,Ribeira Grande,PT,38.5167,-28.7,63.57,86,100,7.25,overcast clouds
99,Saint Anthony,US,45.0205,-93.218,93.52,22,1,11.79,clear sky
100,Cherskiy,RU,68.75,161.3,69.93,24,100,19.86,overcast clouds
101,Antalaha,MG,-14.9003,50.2788,69.51,91,11,4.97,few clouds
102,Valdivia,CL,-39.8142,-73.2459,46.49,93,21,1.99,few clouds
