City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Luwuk,-0.9516,122.7875,79.36,83,100,5.66,ID,2021-06-03 22:59:46
68,San Nicolas,18.1725,120.5953,80.51,78,40,4.61,PH,2021-06-03 22:59:47
69,Port Hedland,-20.3167,118.5667,64.45,59,90,12.66,AU,2021-06-03 22:59:47
70,Thinadhoo,0.5333,72.9333,84.16,69,100,16.71,MV,2021-06-03 22:59:47
71,Doba,8.65,16.85,82.49,49,40,3.69,TD,2021-06-03 22:59:47
72,Esperance,-33.8667,121.9,53.44,81,0,10.8,AU,2021-06-03 22:59:48
73,Husavik,66.0449,-17.3389,48.11,65,100,1.74,IS,2021-06-03 22:59:48
74,Zuenoula,7.4292,-6.0431,76.46,82,55,4.99,CI,2021-06-03 22:59:48
75,Kodiak,57.79,-152.4072,47.1,82,73,7.07,US,2021-06-03 22:59:49
76,Georgetown,5.4112,100.3354,80.89,91,20,1.99,MY,2021-06-03 22:59:49
77,Mar Del Plata,-38.0023,-57.5575,57.09,48,0,4.0,AR,2021-06-03 22:59:49
78,Ubatuba,-23.4339,-45.0711,70.21,91,4,2.3,BR,2021-06-03 22:59:49
79,Klaksvik,62.2266,-6.589,49.12,94,85,17.27,FO,2021-06-03 22:59:50
80,Hashtrud,37.4779,47.0508,58.35,27,0,3.83,IR,2021-06-03 22:59:50
81,Inongo,-1.95,18.2667,71.4,86,72,1.16,CD,2021-06-03 22:59:50
82,Rikitea,-23.1203,-134.9692,72.32,68,84,14.72,PF,2021-06-03 22:59:51
83,Bredasdorp,-34.5322,20.0403,54.28,87,100,3.29,ZA,2021-06-03 22:59:51
84,Char Bhadrasan,23.3167,90.2167,82.45,89,17,4.79,BD,2021-06-03 22:59:51
85,Isangel,-19.55,169.2667,77.11,73,40,13.22,VU,2021-06-03 22:59:52
86,Korla,41.7597,86.1469,77.41,24,79,3.71,CN,2021-06-03 22:59:52
87,Ulaanbaatar,47.9077,106.8832,42.93,81,0,1.32,MN,2021-06-03 22:58:07
88,Correntina,-13.3433,-44.6367,72.05,38,58,2.98,BR,2021-06-03 22:59:52
89,Oranjestad,12.524,-70.027,84.15,71,20,8.99,AW,2021-06-03 22:59:29
90,Katsuura,35.1333,140.3,71.62,89,99,24.74,JP,2021-06-03 22:59:53
91,Carnarvon,-24.8667,113.6333,51.87,93,1,10.36,AU,2021-06-03 22:59:53
92,Waddan,29.1614,16.139,82.13,33,49,12.21,LY,2021-06-03 22:59:53
93,Leningradskiy,69.3833,178.4167,31.51,81,67,7.72,RU,2021-06-03 22:59:54
94,Rundu,-17.9333,19.7667,46.13,33,1,6.46,NA,2021-06-03 22:59:54
95,Cape Town,-33.9258,18.4232,55.11,100,0,2.1,ZA,2021-06-03 22:56:41
96,Kamina,-8.7386,24.9906,65.07,77,43,1.05,CD,2021-06-03 22:59:54
97,Abu Kamal,34.4506,40.9171,78.04,20,22,6.64,SY,2021-06-03 22:59:55
98,Alofi,-19.0595,-169.9187,76.89,94,90,5.75,NU,2021-06-03 22:59:55
99,Chokurdakh,70.6333,147.9167,57.2,58,100,2.48,RU,2021-06-03 22:59:55
100,Xining,36.6167,101.7667,50.83,37,26,3.2,CN,2021-06-03 22:59:55
101,Qaanaaq,77.484,-69.3632,27.61,84,28,3.56,GL,2021-06-03 22:59:56
102,Colares,38.7992,-9.4469,59.43,67,0,15.99,PT,2021-06-03 22:59:56
103,Kahului,20.8947,-156.47,81.68,79,18,14.0,US,2021-06-03 22:59:56
104,Jamestown,42.097,-79.2353,67.32,95,90,4.0,US,2021-06-03 22:59:57
105,Canela,-29.3656,-50.8156,54.52,74,0,1.01,BR,2021-06-03 22:59:57
106,Sovetskiy,61.3614,63.5842,33.87,65,0,4.79,RU,2021-06-03 22:59:57
107,Haines Junction,60.7522,-137.5108,53.58,41,42,14.47,CA,2021-06-03 22:59:58
108,Saint Anthony,45.0205,-93.218,87.94,50,98,6.67,US,2021-06-03 22:59:58
109,Aitape,-3.1374,142.3475,82.2,74,28,2.44,PG,2021-06-03 22:59:58
110,Cidreira,-30.1811,-50.2056,59.99,81,0,8.59,BR,2021-06-03 22:59:58
111,Cabo San Lucas,22.8909,-109.9124,94.51,48,0,10.27,MX,2021-06-03 22:55:41
112,Bluff,-46.6,168.3333,49.8,81,89,14.43,NZ,2021-06-03 22:59:59
113,San Patricio,28.017,-97.5169,81.84,83,97,11.97,US,2021-06-03 22:59:59
114,Whitehorse,60.7161,-135.0538,55.02,27,75,24.0,CA,2021-06-03 23:00:00
115,Yellowknife,62.456,-114.3525,63.12,63,75,14.97,CA,2021-06-03 23:00:00
116,Ukiah,39.1502,-123.2078,102.04,23,2,4.0,US,2021-06-03 23:00:00
117,Ixtapa,20.7,-105.2,85.23,76,97,7.0,MX,2021-06-03 23:00:00
118,Saint-Philippe,-21.3585,55.7679,72.95,78,12,11.01,RE,2021-06-03 23:00:01
119,Deception Bay,-27.2,153.0333,66.47,60,2,7.65,AU,2021-06-03 23:00:01
120,Berlevag,70.8578,29.0864,50.74,66,11,12.62,NO,2021-06-03 23:00:02
121,Iqaluit,63.7506,-68.5145,31.73,86,90,11.99,CA,2021-06-03 23:00:06
122,Flinders,-34.5833,150.8552,61.0,72,32,4.0,AU,2021-06-03 23:00:08
123,Asmara,15.3333,38.9333,62.53,61,23,2.44,ER,2021-06-03 23:00:08
124,Yulara,-25.2406,130.9889,50.16,71,84,8.16,AU,2021-06-03 23:00:09
125,Wukari,7.85,9.7833,73.24,87,76,7.16,NG,2021-06-03 23:00:09
126,Batsfjord,70.6345,29.7185,53.29,57,15,8.3,NO,2021-06-03 23:00:10
127,Ninotsminda,41.2646,43.5916,41.45,90,42,1.5,GE,2021-06-03 23:00:10
128,Bang Saphan,11.2126,99.5117,78.04,92,65,4.59,TH,2021-06-03 23:00:10
129,Fort-Shevchenko,44.5086,50.263,70.95,63,1,17.07,KZ,2021-06-03 23:00:11
130,Norman Wells,65.282,-126.8329,62.42,55,79,6.55,CA,2021-06-03 23:00:11
131,Thompson,55.7435,-97.8558,64.26,37,100,5.57,CA,2021-06-03 23:00:11
132,Kilindoni,-7.9139,39.6668,77.7,73,9,11.12,TZ,2021-06-03 23:00:12
133,Chuy,-33.6971,-53.4616,51.84,66,40,6.78,UY,2021-06-03 23:00:12
134,Otane,-39.8833,176.6333,51.01,55,12,1.03,NZ,2021-06-03 23:00:12
135,Richards Bay,-28.783,32.0377,62.37,65,100,19.8,ZA,2021-06-03 23:00:13
136,Brae,60.3964,-1.353,51.71,94,45,13.76,GB,2021-06-03 23:00:13
137,Myitkyina,25.3833,97.4,73.54,98,64,1.3,MM,2021-06-03 23:00:13
138,Sitka,57.0531,-135.33,46.76,90,100,4.54,US,2021-06-03 23:00:14
139,Komsomolskiy,40.4272,71.7189,75.92,33,24,11.5,UZ,2021-06-03 23:00:14
140,Avera,33.194,-82.5271,87.31,66,100,8.52,US,2021-06-03 23:00:14
141,Nyaunglebin,17.95,96.7333,78.39,84,97,4.99,MM,2021-06-03 23:00:15
142,Tazovskiy,67.4667,78.7,33.06,79,65,10.0,RU,2021-06-03 23:00:15
